Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;06/2004;201.956;55.505;0;86.734;289.929;634.123;11.361;0;0;0;0;1.487;1.487;0;646.971;16;51.928;698.914;0;78.872;777.787
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;06/2004;86;0;0;154.816;0;154.902;0;0;0;0;0;0;0;203.418;358.320;3.502;277.744;639.566;1.475;125.784;766.825
BRASCAN;50885;b1;;C;3;RIO DE JANEIRO;RJ;06/2004;1.224;0;0;231.818;0;233.041;21.086;0;0;0;0;0;0;21.630;275.757;93.517;123.304;492.579;171;267.101;759.851
PROSPER;50414;b1;;C;2;RIO DE JANEIRO;RJ;06/2004;9.893;0;11.214;55.831;0;76.937;380.241;0;0;0;0;0;0;15.387;472.565;17.652;194.676;684.893;0;57.653;742.545
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;06/2004;11.228;0;14.685;222.121;157;248.192;230.352;0;0;0;0;0;0;26.305;504.848;11.922;156.484;673.254;0;64.705;737.960
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;06/2004;0;0;244.941;27.495;0;272.436;0;0;0;0;0;0;0;129.077;401.513;5.420;82.520;489.452;0;208.648;698.100
VOLVO;50933;b2;;C;3;CURITIBA;PR;06/2004;0;0;83.923;87.591;0;171.515;0;0;0;0;0;0;0;410.812;582.327;0;25.220;607.547;1.584;78.627;687.758
LLOYDS TSB BANK PLC;61383170;b1;;I;3;SAO PAULO;SP;06/2004;260;0;0;23.119;0;23.379;5.490;0;0;0;169.535;0;169.535;224;198.628;0;118.849;317.477;0;369.671;687.148
BANCO BARCLAYS S.A.;61146577;b1;;I;3;SAO PAULO;SP;06/2004;7;0;0;0;0;7;0;0;0;0;366.556;0;366.556;440;367.003;3.431;163.680;534.115;0;152.816;686.930
PRIMUS;20255;b1;;C;3;SAO PAULO;SP;06/2004;13.126;0;10.221;71.870;0;95.217;165.570;0;0;0;163.961;0;163.961;93.507;518.255;2;135.437;653.695;205;32.847;686.747
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;06/2004;11.083;0;128.555;325.622;0;465.260;0;0;0;0;0;0;0;3.893;469.152;52;74.109;543.314;4;132.719;676.037
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;329.525;329.525;0;39.150;368.675;0;237.242;605.917
BANCO GE CAPITAL S.A.;62421979;b1;;I;3;SAO PAULO;SP;06/2004;47;0;49.683;49.191;0;98.921;0;0;0;0;0;0;0;221.587;320.508;0;184.198;504.706;753;77.887;583.346
AGENCIA DE FOMENTO DO PARANA S.A.;3584906;n1;;I;1;CURITIBA;PR;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.891;46.891;0;520.617;567.508
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;06/2004;8.770;0;9.309;94.139;168;112.386;107.012;0;0;0;0;0;0;25.167;244.565;0;234.673;479.238;70;57.568;536.877
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;06/2004;14.792;0;2.380;79.932;0;97.104;76.197;0;0;0;0;0;0;20.125;193.426;0;283.477;476.904;0;37.268;514.172
ECONOMIA CREDITO IMOBILIARIO S.A.-ECONOMISA;17441197;n1;;I;2;BELO HORIZONTE;MG;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;144.457;144.457;0;319.099;463.555;0;7.013;470.569
